Input: Performing inspection go to building A, building B, and building C.
Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B, building C, and building D.
Building IDs: A, B, C, D

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building A, building B.
Building IDs: A, B

Input: Perform inspection on building B, building A.
Building IDs: B, A

Input: Perform inspection on building B, building A.
Building IDs: B, A

